time,n_maps,n_reduces,n_shuffles
0.01600,1,0,0
0.04900,2,0,0
0.08100,3,0,0
0.11400,4,0,0
0.14600,5,0,0
0.17900,6,0,0
0.21100,7,0,0
0.24400,8,0,0
0.27600,9,0,0
0.30900,10,0,0
0.34200,11,0,0
0.37400,12,0,0
0.40700,13,0,0
0.43900,14,0,0
0.47200,15,0,0
0.50400,16,0,0
0.53700,17,0,0
0.56900,18,0,0
0.60200,19,0,0
0.63400,20,0,0
0.66700,21,0,0
0.69900,22,0,0
0.73200,23,0,0
0.76400,24,0,0
0.79700,25,0,0
0.82900,26,0,0
0.86200,27,0,0
0.89400,28,0,0
0.92700,29,0,0
0.95900,30,0,0
0.99200,31,0,0
1.02500,32,0,0
3.03300,33,0,0
3.06500,34,0,0
3.09800,35,0,0
3.13000,36,0,0
3.16300,37,0,0
3.19500,38,0,0
3.22800,39,0,0
3.26000,40,0,0
3.29300,41,0,0
3.32500,42,0,0
3.35800,43,0,0
3.39000,44,0,0
3.42300,45,0,0
3.45500,46,0,0
3.48800,47,0,0
3.52000,48,0,0
3.55300,49,0,0
3.58500,50,0,0
3.61800,51,0,0
3.65000,52,0,0
3.68300,53,0,0
3.71600,54,0,0
3.74800,55,0,0
3.78100,56,0,0
3.81300,57,0,0
3.84600,58,0,0
3.87800,59,0,0
3.91100,60,0,0
3.94300,61,0,0
3.97600,62,0,0
4.00800,63,0,0
4.04100,64,0,0
6.55300,64,0,0
6.58500,63,0,0
6.61800,62,0,0
6.65000,61,0,0
6.68300,60,0,0
6.71600,59,0,0
6.74800,58,0,0
6.78100,57,0,0
6.81300,56,0,0
6.84600,55,0,0
6.87800,54,0,0
6.91100,53,0,0
6.94300,52,0,0
6.97600,51,0,0
7.00800,50,0,0
7.04100,49,0,0
7.07300,48,0,0
7.09100,47,0,0
7.12400,46,0,0
7.15600,45,0,0
7.18900,44,0,0
7.22100,43,0,0
7.25400,42,0,0
7.28600,41,0,0
7.31900,40,0,0
7.35100,39,0,0
7.38400,38,0,0
7.41700,37,0,0
7.44900,36,0,0
7.48200,35,0,0
7.51400,34,0,0
7.54700,33,0,0
9.06500,33,0,0
9.08100,33,0,1
9.11400,34,0,1
9.13000,34,0,2
9.16300,35,0,2
9.17900,35,0,3
9.21100,36,0,3
9.22800,36,0,4
9.26000,37,0,4
9.27600,37,0,5
9.30900,38,0,5
9.32500,38,0,6
9.35800,39,0,6
9.37400,39,0,7
9.40700,40,0,7
9.42300,40,0,8
9.45500,41,0,8
9.47200,41,0,9
9.50400,42,0,9
9.52000,42,0,10
9.55300,43,0,10
9.56900,43,0,11
9.60200,44,0,11
9.61800,44,0,12
9.65000,45,0,12
9.66700,45,0,13
9.69900,46,0,13
