task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_0_0,MRSG_MAP,0,0.016,START,
0_1_0,MRSG_MAP,1,0.049,START,
0_2_0,MRSG_MAP,2,0.081,START,
0_3_0,MRSG_MAP,3,0.114,START,
0_4_0,MRSG_MAP,4,0.146,START,
0_5_0,MRSG_MAP,5,0.179,START,
0_6_0,MRSG_MAP,6,0.211,START,
0_7_0,MRSG_MAP,7,0.244,START,
0_8_0,MRSG_MAP,8,0.276,START,
0_9_0,MRSG_MAP,9,0.309,START,
0_10_0,MRSG_MAP,10,0.342,START,
0_11_0,MRSG_MAP,11,0.374,START,
0_12_0,MRSG_MAP,12,0.407,START,
0_13_0,MRSG_MAP,13,0.439,START,
0_14_0,MRSG_MAP,14,0.472,START,
0_15_0,MRSG_MAP,15,0.504,START,
0_16_0,MRSG_MAP,16,0.537,START,
0_17_0,MRSG_MAP,17,0.569,START,
0_18_0,MRSG_MAP,18,0.602,START,
0_19_0,MRSG_MAP,19,0.634,START,
0_20_0,MRSG_MAP,20,0.667,START,
0_21_0,MRSG_MAP,21,0.699,START,
0_22_0,MRSG_MAP,22,0.732,START,
0_23_0,MRSG_MAP,23,0.764,START,
0_24_0,MRSG_MAP,24,0.797,START,
0_25_0,MRSG_MAP,25,0.829,START,
0_26_0,MRSG_MAP,26,0.862,START,
0_27_0,MRSG_MAP,27,0.894,START,
0_28_0,MRSG_MAP,28,0.927,START,
0_29_0,MRSG_MAP,29,0.959,START,
0_30_0,MRSG_MAP,30,0.992,START,
0_31_0,MRSG_MAP,31,1.025,START,
0_32_0,MRSG_MAP,0,3.033,START,
0_33_0,MRSG_MAP,1,3.065,START,
0_34_0,MRSG_MAP,2,3.098,START,
0_35_0,MRSG_MAP,3,3.130,START,
0_36_0,MRSG_MAP,4,3.163,START,
0_37_0,MRSG_MAP,5,3.195,START,
0_38_0,MRSG_MAP,6,3.228,START,
0_39_0,MRSG_MAP,7,3.260,START,
0_40_0,MRSG_MAP,8,3.293,START,
0_41_0,MRSG_MAP,9,3.325,START,
0_42_0,MRSG_MAP,10,3.358,START,
0_43_0,MRSG_MAP,11,3.390,START,
0_44_0,MRSG_MAP,12,3.423,START,
0_45_0,MRSG_MAP,13,3.455,START,
0_46_0,MRSG_MAP,14,3.488,START,
0_47_0,MRSG_MAP,15,3.520,START,
0_48_0,MRSG_MAP,16,3.553,START,
0_49_0,MRSG_MAP,17,3.585,START,
0_50_0,MRSG_MAP,18,3.618,START,
0_51_0,MRSG_MAP,19,3.650,START,
0_52_0,MRSG_MAP,20,3.683,START,
0_53_0,MRSG_MAP,21,3.716,START,
0_54_0,MRSG_MAP,22,3.748,START,
0_55_0,MRSG_MAP,23,3.781,START,
0_56_0,MRSG_MAP,24,3.813,START,
0_57_0,MRSG_MAP,25,3.846,START,
0_58_0,MRSG_MAP,26,3.878,START,
0_59_0,MRSG_MAP,27,3.911,START,
0_60_0,MRSG_MAP,28,3.943,START,
0_61_0,MRSG_MAP,29,3.976,START,
0_62_0,MRSG_MAP,30,4.008,START,
0_63_0,MRSG_MAP,31,4.041,START,
0_0_0,MRSG_MAP,0,6.553,END,0.000
0_1_0,MRSG_MAP,1,6.585,END,0.000
0_2_0,MRSG_MAP,2,6.618,END,0.000
0_3_0,MRSG_MAP,3,6.650,END,0.000
0_4_0,MRSG_MAP,4,6.683,END,0.000
0_5_0,MRSG_MAP,5,6.716,END,0.000
0_6_0,MRSG_MAP,6,6.748,END,0.000
0_7_0,MRSG_MAP,7,6.781,END,0.000
0_8_0,MRSG_MAP,8,6.813,END,0.000
0_9_0,MRSG_MAP,9,6.846,END,0.000
0_10_0,MRSG_MAP,10,6.878,END,0.000
0_11_0,MRSG_MAP,11,6.911,END,0.000
0_12_0,MRSG_MAP,12,6.943,END,0.000
0_13_0,MRSG_MAP,13,6.976,END,0.000
0_14_0,MRSG_MAP,14,7.008,END,0.000
0_15_0,MRSG_MAP,15,7.041,END,0.000
0_16_0,MRSG_MAP,16,7.073,END,0.000
0_17_0,MRSG_MAP,17,7.091,END,0.000
0_18_0,MRSG_MAP,18,7.124,END,0.000
0_19_0,MRSG_MAP,19,7.156,END,0.000
0_20_0,MRSG_MAP,20,7.189,END,0.000
0_21_0,MRSG_MAP,21,7.221,END,0.000
0_22_0,MRSG_MAP,22,7.254,END,0.000
0_23_0,MRSG_MAP,23,7.286,END,0.000
0_24_0,MRSG_MAP,24,7.319,END,0.000
0_25_0,MRSG_MAP,25,7.351,END,0.000
0_26_0,MRSG_MAP,26,7.384,END,0.000
0_27_0,MRSG_MAP,27,7.417,END,0.000
0_28_0,MRSG_MAP,28,7.449,END,0.000
0_29_0,MRSG_MAP,29,7.482,END,0.000
0_30_0,MRSG_MAP,30,7.514,END,0.000
0_31_0,MRSG_MAP,31,7.547,END,0.000
0_64_0,MRSG_MAP,0,9.065,START,
1_0_0,MRSG_REDUCE,0,9.081,START,
0_65_0,MRSG_MAP,1,9.114,START,
1_1_0,MRSG_REDUCE,1,9.130,START,
0_66_0,MRSG_MAP,2,9.163,START,
1_2_0,MRSG_REDUCE,2,9.179,START,
0_67_0,MRSG_MAP,3,9.211,START,
1_3_0,MRSG_REDUCE,3,9.228,START,
0_68_0,MRSG_MAP,4,9.260,START,
1_4_0,MRSG_REDUCE,4,9.276,START,
0_69_0,MRSG_MAP,5,9.309,START,
1_5_0,MRSG_REDUCE,5,9.325,START,
0_70_0,MRSG_MAP,6,9.358,START,
1_6_0,MRSG_REDUCE,6,9.374,START,
0_71_0,MRSG_MAP,7,9.407,START,
1_7_0,MRSG_REDUCE,7,9.423,START,
0_72_0,MRSG_MAP,8,9.455,START,
1_8_0,MRSG_REDUCE,8,9.472,START,
0_73_0,MRSG_MAP,9,9.504,START,
1_9_0,MRSG_REDUCE,9,9.520,START,
0_74_0,MRSG_MAP,10,9.553,START,
1_10_0,MRSG_REDUCE,10,9.569,START,
0_75_0,MRSG_MAP,11,9.602,START,
1_11_0,MRSG_REDUCE,11,9.618,START,
0_76_0,MRSG_MAP,12,9.650,START,
1_12_0,MRSG_REDUCE,12,9.667,START,
0_77_0,MRSG_MAP,13,9.699,START,
1_13_0,MRSG_REDUCE,13,9.716,START,
0_78_0,MRSG_MAP,14,9.748,START,
1_14_0,MRSG_REDUCE,14,9.764,START,
0_79_0,MRSG_MAP,15,9.797,START,
1_15_0,MRSG_REDUCE,15,9.813,START,
0_32_0,MRSG_MAP,0,9.846,END,0.000
0_80_0,MRSG_MAP,16,9.862,START,
1_16_0,MRSG_REDUCE,16,9.878,START,
0_33_0,MRSG_MAP,1,9.911,END,0.000
0_81_0,MRSG_MAP,17,9.927,START,
1_17_0,MRSG_REDUCE,17,9.943,START,
0_34_0,MRSG_MAP,2,9.976,END,0.000
0_82_0,MRSG_MAP,18,9.992,START,
1_18_0,MRSG_REDUCE,18,10.008,START,
0_35_0,MRSG_MAP,3,10.041,END,0.000
0_83_0,MRSG_MAP,19,10.057,START,
1_19_0,MRSG_REDUCE,19,10.073,START,
0_36_0,MRSG_MAP,4,10.106,END,0.000
0_84_0,MRSG_MAP,20,10.122,START,
1_20_0,MRSG_REDUCE,20,10.138,START,
0_37_0,MRSG_MAP,5,10.171,END,0.000
0_85_0,MRSG_MAP,21,10.187,START,
1_21_0,MRSG_REDUCE,21,10.203,START,
0_38_0,MRSG_MAP,6,10.236,END,0.000
0_86_0,MRSG_MAP,22,10.252,START,
1_22_0,MRSG_REDUCE,22,10.268,START,
0_39_0,MRSG_MAP,7,10.301,END,0.000
0_87_0,MRSG_MAP,23,10.317,START,
1_23_0,MRSG_REDUCE,23,10.334,START,
0_40_0,MRSG_MAP,8,10.366,END,0.000
0_88_0,MRSG_MAP,24,10.382,START,
1_24_0,MRSG_REDUCE,24,10.399,START,
0_41_0,MRSG_MAP,9,10.431,END,0.000
0_89_0,MRSG_MAP,25,10.447,START,
1_25_0,MRSG_REDUCE,25,10.464,START,
0_42_0,MRSG_MAP,10,10.496,END,0.000
0_90_0,MRSG_MAP,26,10.512,START,
1_26_0,MRSG_REDUCE,26,10.529,START,
0_43_0,MRSG_MAP,11,10.561,END,0.000
0_91_0,MRSG_MAP,27,10.577,START,
1_27_0,MRSG_REDUCE,27,10.594,START,
0_44_0,MRSG_MAP,12,10.626,END,0.000
0_92_0,MRSG_MAP,28,10.643,START,
1_28_0,MRSG_REDUCE,28,10.659,START,
0_45_0,MRSG_MAP,13,10.691,END,0.000
0_93_0,MRSG_MAP,29,10.708,START,
1_29_0,MRSG_REDUCE,29,10.724,START,
0_46_0,MRSG_MAP,14,10.756,END,0.000
0_94_0,MRSG_MAP,30,10.773,START,
1_30_0,MRSG_REDUCE,30,10.789,START,
0_47_0,MRSG_MAP,15,10.821,END,0.000
0_95_0,MRSG_MAP,31,10.838,START,
1_31_0,MRSG_REDUCE,31,10.854,START,
0_48_0,MRSG_MAP,16,10.886,END,0.000
0_49_0,MRSG_MAP,17,10.903,END,0.000
0_50_0,MRSG_MAP,18,10.919,END,0.000
0_51_0,MRSG_MAP,19,10.935,END,0.000
0_52_0,MRSG_MAP,20,10.951,END,0.000
0_53_0,MRSG_MAP,21,10.968,END,0.000
0_54_0,MRSG_MAP,22,10.984,END,0.000
0_55_0,MRSG_MAP,23,11.000,END,0.000
0_56_0,MRSG_MAP,24,11.017,END,0.000
0_57_0,MRSG_MAP,25,11.033,END,0.000
0_58_0,MRSG_MAP,26,11.049,END,0.000
0_59_0,MRSG_MAP,27,11.065,END,0.000
0_60_0,MRSG_MAP,28,11.082,END,0.000
0_61_0,MRSG_MAP,29,11.098,END,0.000
0_62_0,MRSG_MAP,30,11.114,END,0.000
0_63_0,MRSG_MAP,31,11.130,END,0.000
0_96_0,MRSG_MAP,0,12.081,START,
1_32_0,MRSG_REDUCE,0,12.098,START,
0_97_0,MRSG_MAP,1,12.130,START,
1_33_0,MRSG_REDUCE,1,12.146,START,
0_98_0,MRSG_MAP,2,12.179,START,
1_34_0,MRSG_REDUCE,2,12.195,START,
0_99_0,MRSG_MAP,3,12.228,START,
1_35_0,MRSG_REDUCE,3,12.244,START,
0_100_0,MRSG_MAP,4,12.276,START,
1_36_0,MRSG_REDUCE,4,12.293,START,
0_101_0,MRSG_MAP,5,12.325,START,
1_37_0,MRSG_REDUCE,5,12.342,START,
0_102_0,MRSG_MAP,6,12.374,START,
1_38_0,MRSG_REDUCE,6,12.390,START,
0_103_0,MRSG_MAP,7,12.423,START,
1_39_0,MRSG_REDUCE,7,12.439,START,
0_104_0,MRSG_MAP,8,12.472,START,
1_40_0,MRSG_REDUCE,8,12.488,START,
0_105_0,MRSG_MAP,9,12.520,START,
1_41_0,MRSG_REDUCE,9,12.537,START,
0_106_0,MRSG_MAP,10,12.569,START,
1_42_0,MRSG_REDUCE,10,12.585,START,
