task_id,mrsg_phase,worker_id,time,action,shuffle_end
0_0_0,MRSG_MAP,0,0.001,START,
0_1_0,MRSG_MAP,11,0.004,START,
0_2_0,MRSG_MAP,22,0.007,START,
0_6_0,MRSG_MAP,26,0.009,START,
0_7_0,MRSG_MAP,27,0.012,START,
0_8_0,MRSG_MAP,28,0.014,START,
0_9_0,MRSG_MAP,29,0.017,START,
0_10_0,MRSG_MAP,30,0.020,START,
0_11_0,MRSG_MAP,31,0.022,START,
0_13_0,MRSG_MAP,1,0.025,START,
0_14_0,MRSG_MAP,2,0.027,START,
0_3_0,MRSG_MAP,3,0.030,START,
0_4_0,MRSG_MAP,4,0.033,START,
0_5_0,MRSG_MAP,5,0.035,START,
0_18_0,MRSG_MAP,6,0.038,START,
0_19_0,MRSG_MAP,7,0.040,START,
0_20_0,MRSG_MAP,8,0.043,START,
0_21_0,MRSG_MAP,9,0.046,START,
0_22_0,MRSG_MAP,10,0.048,START,
0_12_0,MRSG_MAP,12,0.051,START,
0_25_0,MRSG_MAP,13,0.053,START,
0_26_0,MRSG_MAP,14,0.056,START,
0_15_0,MRSG_MAP,15,0.059,START,
0_16_0,MRSG_MAP,16,0.061,START,
0_17_0,MRSG_MAP,17,0.064,START,
0_30_0,MRSG_MAP,18,0.066,START,
0_31_0,MRSG_MAP,19,0.069,START,
0_32_0,MRSG_MAP,20,0.072,START,
0_33_0,MRSG_MAP,21,0.074,START,
0_23_0,MRSG_MAP,23,0.077,START,
0_24_0,MRSG_MAP,24,0.079,START,
0_37_0,MRSG_MAP,25,0.082,START,
0_0_0,MRSG_MAP,0,0.085,END,0.000
0_1_0,MRSG_MAP,11,0.086,END,0.000
0_2_0,MRSG_MAP,22,0.087,END,0.000
0_6_0,MRSG_MAP,26,0.088,END,0.000
0_7_0,MRSG_MAP,27,0.090,END,0.000
0_8_0,MRSG_MAP,28,0.091,END,0.000
0_9_0,MRSG_MAP,29,0.092,END,0.000
0_10_0,MRSG_MAP,30,0.094,END,0.000
0_11_0,MRSG_MAP,31,0.095,END,0.000
0_13_0,MRSG_MAP,1,0.096,END,0.000
0_14_0,MRSG_MAP,2,0.098,END,0.000
0_3_0,MRSG_MAP,3,0.099,END,0.000
0_4_0,MRSG_MAP,4,0.100,END,0.000
0_5_0,MRSG_MAP,5,0.101,END,0.000
0_18_0,MRSG_MAP,6,0.103,END,0.000
0_19_0,MRSG_MAP,7,0.104,END,0.000
0_20_0,MRSG_MAP,8,0.105,END,0.000
0_21_0,MRSG_MAP,9,0.107,END,0.000
0_22_0,MRSG_MAP,10,0.108,END,0.000
0_12_0,MRSG_MAP,12,0.109,END,0.000
0_25_0,MRSG_MAP,13,0.111,END,0.000
0_26_0,MRSG_MAP,14,0.112,END,0.000
0_15_0,MRSG_MAP,15,0.113,END,0.000
0_16_0,MRSG_MAP,16,0.114,END,0.000
0_17_0,MRSG_MAP,17,0.116,END,0.000
0_30_0,MRSG_MAP,18,0.117,END,0.000
0_31_0,MRSG_MAP,19,0.118,END,0.000
0_32_0,MRSG_MAP,20,0.120,END,0.000
0_33_0,MRSG_MAP,21,0.121,END,0.000
0_23_0,MRSG_MAP,23,0.122,END,0.000
0_24_0,MRSG_MAP,24,0.124,END,0.000
0_37_0,MRSG_MAP,25,0.125,END,0.000
0_44_0,MRSG_MAP,0,3.003,START,
0_43_0,MRSG_MAP,11,3.005,START,
0_44_0,MRSG_MAP,0,3.008,END,0.000
0_34_0,MRSG_MAP,22,3.009,START,
0_43_0,MRSG_MAP,11,3.012,END,0.000
0_38_0,MRSG_MAP,26,3.013,START,
0_34_0,MRSG_MAP,22,3.016,END,0.000
0_27_0,MRSG_MAP,27,3.017,START,
0_28_0,MRSG_MAP,28,3.020,START,
0_38_0,MRSG_MAP,26,3.022,END,0.000
0_29_0,MRSG_MAP,29,3.023,START,
0_27_0,MRSG_MAP,27,3.026,END,0.000
0_42_0,MRSG_MAP,30,3.027,START,
0_28_0,MRSG_MAP,28,3.030,END,0.000
0_53_0,MRSG_MAP,31,3.031,START,
0_45_0,MRSG_MAP,1,3.034,START,
0_29_0,MRSG_MAP,29,3.036,END,0.000
0_46_0,MRSG_MAP,2,3.038,START,
0_42_0,MRSG_MAP,30,3.040,END,0.000
0_35_0,MRSG_MAP,3,3.042,START,
0_36_0,MRSG_MAP,4,3.044,START,
0_53_0,MRSG_MAP,31,3.047,END,0.000
0_49_0,MRSG_MAP,5,3.048,START,
0_45_0,MRSG_MAP,1,3.051,END,0.000
0_50_0,MRSG_MAP,6,3.052,START,
0_46_0,MRSG_MAP,2,3.055,END,0.000
0_39_0,MRSG_MAP,7,3.056,START,
0_40_0,MRSG_MAP,8,3.059,START,
0_35_0,MRSG_MAP,3,3.061,END,0.000
0_41_0,MRSG_MAP,9,3.062,START,
0_36_0,MRSG_MAP,4,3.065,END,0.000
0_54_0,MRSG_MAP,10,3.066,START,
0_49_0,MRSG_MAP,5,3.069,END,0.000
0_56_0,MRSG_MAP,12,3.070,START,
